,R = 100 Ω ,R = 200 Ω ,R = 300 Ω ,R = 400 Ω ,R = 500 Ω 
t (sec),I (Amps),I (Amps),I (Amps),I (Amps),I (Amps)
0.01,0.065190139734092,0.03863185883155,0.02673864067186,0.020824587982431,0.016775809335511
0.02,0.046315283365166,0.032746826187733,0.024504811607941,0.019105017207023,0.015602700346567
0.03,0.03381810024153,0.027796069311155,0.021636108426319,0.017555645540917,0.014810595268819
0.04,0.02341197416983,0.023098983604946,0.018930668054267,0.016439175666234,0.01353534095403
0.05,0.017066259635764,0.019137976984287,0.01742593377911,0.014933734058689,0.013037093233652
0.06,0.01246613959892,0.016862442823321,0.015241248227169,0.013913141866513,0.012001327080405
0.07,0.008634104647113,0.014226805336075,0.013474555555432,0.012475628113481,0.01118387892462
0.08,0.006111670830462,0.011951115225636,0.012553436021097,0.011733356235203,0.010620752192637
0.09,0.004413801168938,0.009917285626102,0.011036862030971,0.010493017491425,0.00964807348978
0.1,0.003145096057061,0.008383808414081,0.009889822832071,0.009801050375219,0.009345202040439
0.11,0.002251537501462,0.007101237651311,0.008640385893267,0.009047005178339,0.008456933236967
0.12,0.001610164438182,0.006076785007491,0.007899245360195,0.008362604474464,0.008106882938377
0.13,0.001206856543425,0.005193074905109,0.007235358347383,0.007489225686665,0.007739973050575
0.14,0.000845374409981,0.004327542821646,0.006386719329726,0.007133390375419,0.007197231145191
0.15,0.000596983489022,0.003774424510149,0.005661221257091,0.006467196062448,0.006763833652642
0.16,0.000444644290593,0.003145720926599,0.004994237484941,0.005891653623508,0.006320105858812
0.17,0.000315670521792,0.002612537826817,0.004471855353702,0.005353803598148,0.005709535288251
0.18,0.000224477348629,0.00219883406525,0.004006606080321,0.005011676665314,0.00538043276765
0.19,0.000156931324192,0.001914604842972,0.003678429274572,0.004523423562763,0.005111752034564
0.2,0.000113997074048,0.001589376392056,0.003282551180119,0.00428488767282,0.004726181095292
0.21,8.40830917387326E-05,0.001386379503438,0.002867932475431,0.003893632171447,0.004425553753157
0.22,5.855355784894E-05,0.001139326574171,0.002656969433769,0.003680635042871,0.004195180222462
0.23,4.31545807916925E-05,0.000997319494163,0.002347926993454,0.003273360057865,0.003810802934551
0.24,3.01839657476914E-05,0.000808529869759,0.002070943644565,0.00304310258834,0.003664497042011
0.25,2.12259410095575E-05,0.000706749950127,0.001901973662017,0.002754807475229,0.003343201687219
0.26,1.51994881187224E-05,0.000588028097451,0.001680667406982,0.002588349533671,0.003116993058447
0.27,1.11555362874435E-05,0.000508615399978,0.001487209821404,0.002385612206739,0.002947536555495
0.28,7.99322239698222E-06,0.000424721541716,0.001336910003558,0.002197121228595,0.002810955349292
0.29,5.80902061330892E-06,0.000363296930987,0.001194555664395,0.002017680949923,0.00262612938813
0.3,4.11664392680834E-06,0.000300314104604,0.001058816429896,0.001839605324497,0.002424602132194
