,R = 100 Ω ,R = 200 Ω ,R = 300 Ω ,R = 400 Ω ,R = 500 Ω 
t (sec),I (Amps),I (Amps),I (Amps),I (Amps),I (Amps)
0.01,0.068537979527454,0.03957453995803,0.027960308500588,0.02076440720934,0.017526660315191
0.02,0.053863475774795,0.034877923127218,0.024883836130997,0.019777416360231,0.016454011012957
0.03,0.043385001059309,0.030279996007714,0.02353075757949,0.018369294233138,0.015859813437285
0.04,0.033365723095809,0.027111467425559,0.021138286011952,0.017650751245724,0.014836673514238
0.05,0.025323518526268,0.023921423347497,0.019907924862196,0.016355241123507,0.013837294279695
0.06,0.020137532465339,0.021374291009795,0.018488492203152,0.015221638305626,0.013533315932481
0.07,0.015841116880984,0.019197440098912,0.016734099824558,0.014543667847089,0.012890970819271
0.08,0.01224940342914,0.016176449620055,0.015392240057381,0.013742617928802,0.011781512897374
0.09,0.009682731971158,0.014728507141792,0.014522129835533,0.012758483765491,0.011399128868853
0.1,0.007236653895243,0.012793187306263,0.013136856654031,0.011790995880418,0.011150458383396
0.11,0.00572326843425,0.011644445780939,0.01190457429581,0.011386884917122,0.010476849601757
0.12,0.004472133143173,0.009929503676758,0.010834904453559,0.010620978461675,0.010113386603193
0.13,0.003522591983806,0.008796382000856,0.010215618200297,0.010060284341184,0.009509789880357
0.14,0.002748685673583,0.007657425616276,0.009337017466799,0.009506631208206,0.008857288145016
0.15,0.002066354216579,0.007070684953862,0.008483321359146,0.008649873271833,0.008644291547922
0.16,0.001609076036285,0.005992419717776,0.007984649659538,0.008162119815687,0.007900852702758
0.17,0.001310069902602,0.005302589936019,0.007146384530051,0.007800042119216,0.007591575163646
0.18,0.000978659735927,0.004837487462007,0.006741573259218,0.007316389467165,0.007324296464749
0.19,0.000780258228308,0.004116216249552,0.006143473903425,0.00673669039807,0.006801723772237
0.2,0.000604233354124,0.003677474833039,0.005692080032803,0.006325226485982,0.006690423331246
0.21,0.000469973523188,0.003313571777398,0.005136556963382,0.006032832974868,0.006275649706687
0.22,0.000374124276796,0.00283282393288,0.004845083258183,0.005658622528372,0.005889202430502
0.23,0.000285171257569,0.002494703972397,0.004368928571361,0.005400899160933,0.005742652092364
0.24,0.000227441185286,0.002249682493152,0.004116692484129,0.005035722592058,0.005479587820199
0.25,0.000169699134131,0.002009850484484,0.00376093893578,0.004752907801758,0.005226568258835
0.26,0.000137886521147,0.001738243880638,0.003452183685277,0.004478269222001,0.004805637018075
0.27,0.000107742615364,0.001513040289029,0.003226692834023,0.004249266367119,0.004553856080819
0.28,8.13417229441886E-05,0.001379943783606,0.002873155720719,0.003889222979517,0.004443630626751
0.29,6.51905308661857E-05,0.001201475779116,0.002649941380003,0.003602863811494,0.004241052732856
0.3,5.06536235350534E-05,0.001035248271924,0.002459801333057,0.003366913568564,0.003929808294146
