,R = 100 Ω ,R = 200 Ω ,R = 300 Ω ,R = 400 Ω ,R = 500 Ω 
t (sec),I (Amps),I (Amps),I (Amps),I (Amps),I (Amps)
0.01,0.055940012031162,0.035415032691603,0.025078734870789,0.019502949152321,0.016010189659332
0.02,0.032871225740207,0.027131211764572,0.021987541140233,0.01715686941039,0.014832559959364
0.03,0.019808009855651,0.020938981713827,0.018377995650877,0.015267313195538,0.01305619178571
0.04,0.012438396704133,0.016559187022092,0.015595412374694,0.013445145063749,0.012204888600066
0.05,0.007455539724381,0.012572698151517,0.012760972810635,0.012151164802651,0.01096658784586
0.06,0.004520493229482,0.009820159303546,0.011107626965762,0.010771263976273,0.009771772102013
0.07,0.002784068315506,0.00773897349493,0.009569534080194,0.009546925988824,0.008854759379216
0.08,0.001637201694182,0.00601181303763,0.00796209846612,0.008274775037272,0.008156791318274
0.09,0.001004612050873,0.004811986578418,0.006605547460427,0.007182979507697,0.007165681689219
0.1,0.000595439278878,0.003691989047938,0.005748555615695,0.006587707720848,0.006481142776207
0.11,0.000368956929477,0.002804917474793,0.004704805954321,0.005566766775631,0.006076374006917
0.12,0.000226120026592,0.002274950064392,0.004138841251703,0.005045833169785,0.005522466973944
0.13,0.000136684237479,0.001770493990172,0.003475741625443,0.004408013161821,0.004797429326594
0.14,8.06509212405228E-05,0.001390760833483,0.002860072219426,0.003938675264606,0.004346707357345
0.15,5.05545420253777E-05,0.001074779100018,0.00246153222404,0.003378591627446,0.004085188235058
0.16,3.05705038255511E-05,0.000813194091629,0.002084661719899,0.003101272345395,0.003591982228579
0.17,1.86274887038975E-05,0.000642101171771,0.001742978462291,0.002702312244552,0.003232682113666
0.18,1.09498061174962E-05,0.000509152499765,0.001485958059822,0.002429930708113,0.002912266710346
0.19,6.89883801384145E-06,0.000382215180752,0.001259848943712,0.00210226287522,0.002680901971968
0.2,4.17298817726044E-06,0.000309151244186,0.001076008408084,0.001810353509463,0.002393492305069
0.21,2.43795747614728E-06,0.000234025487446,0.000906466013616,0.001621389971105,0.002230801713215
0.22,1.50718691059575E-06,0.000181049633897,0.000785938680736,0.00146617924789,0.001979865553287
0.23,9.19369310279078E-07,0.000145095168348,0.000646678733065,0.001251814685848,0.001787103110387
0.24,5.4705376663187E-07,0.00011005960541,0.000561758972403,0.001100129849631,0.001658158497908
0.25,3.28434729407411E-07,8.87313983589912E-05,0.000476230627252,0.000992623658597,0.001470478818201
0.26,2.02482593429463E-07,6.78123380488321E-05,0.00038509836838,0.00088447942652,0.001362075562508
0.27,1.26261668038047E-07,5.28102376951725E-05,0.000327801193799,0.000775404196934,0.001234756727831
0.28,7.53012661852054E-08,4.04782511069411E-05,0.000280199662465,0.000670470042686,0.001077041950801
0.29,4.45563002655474E-08,3.13054191455263E-05,0.000237696889192,0.000607248755174,0.000971498841565
0.3,2.69614174986577E-08,2.44839699182058E-05,0.000199753784124,0.000541542449451,0.000880734342645
